Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,261415.0,5489715.0,2019-05-01 00:00:00,13:08:00,Ewallet,522.83,4761904762,261415.0,9.1
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,2019-08-03 00:00:00,10:29:00,Cash,76.4,4761904762,3.82,9.6
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,162155.0,3405255.0,2019-03-03 00:00:00,13:23:00,Credit card,324.31,4761904762,162155.0,7.4
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23288.0,489048.0,1/27/2019,20:33:00,Ewallet,465.76,4761904762,23288.0,8.4
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,302085.0,6343785.0,2019-08-02 00:00:00,10:37:00,Ewallet,604.17,4761904762,302085.0,5.3
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,298865.0,6276165.0,3/25/2019,18:30:00,Ewallet,597.73,4761904762,298865.0,4.1
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,20652.0,433692.0,2/25/2019,14:36:00,Ewallet,413.04,4761904762,20652.0,5.8
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,2/24/2019,11:38:00,Ewallet,735.6,4761904762,36.78,8.0
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,3626.0,76146.0,2019-10-01 00:00:00,17:15:00,Credit card,72.52,4761904762,3626.0,7.2
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,8226.0,172746.0,2/20/2019,13:27:00,Credit card,164.52,4761904762,8226.0,5.9
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2896.0,60816.0,2019-06-02 00:00:00,18:07:00,Ewallet,57.92,4761904762,2896.0,4.5
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5102.0,107142.0,2019-09-03 00:00:00,17:03:00,Cash,102.04,4761904762,5102.0,6.8
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,117375.0,2464875.0,2019-12-02 00:00:00,10:25:00,Ewallet,234.75,4761904762,117375.0,7.1
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,21595.0,453495.0,2019-07-02 00:00:00,16:48:00,Ewallet,431.9,4761904762,21595.0,8.2
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,3/29/2019,19:21:00,Cash,713.8,4761904762,35.69,5.7
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,28116.0,590436.0,1/15/2019,16:19:00,Cash,562.32,4761904762,28116.0,4.5
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,241255.0,5066355.0,2019-11-03 00:00:00,11:03:00,Credit card,482.51,4761904762,241255.0,4.6
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21783.0,457443.0,2019-01-01 00:00:00,10:39:00,Credit card,435.66,4761904762,21783.0,6.9
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,82005.0,1722105.0,1/21/2019,18:00:00,Credit card,164.01,4761904762,82005.0,8.6
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,2019-11-03 00:00:00,15:30:00,Ewallet,80.6,4761904762,4.03,4.4
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,451.71,2/25/2019,11:24:00,Ewallet,430.2,4761904762,21.51,4.8
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,13197.0,277137.0,2019-05-03 00:00:00,10:40:00,Ewallet,263.94,4761904762,13197.0,5.1
